id_kks,value,session_date,session_id,cycle_id,tm_update
14,-125.67,2020-05-28-16:06:45,6623,27,1590671233.21494
15,-110.426,2020-05-28-16:06:45,6623,27,1590671233.21724
16,-121.639,2020-05-28-16:06:45,6623,27,1590671233.2194
17,-0.000107422,2020-05-28-16:06:45,6623,27,1590671233.22234
18,-0.000141602,2020-05-28-16:06:45,6623,27,1590671233.22468
19,7.8125e-05,2020-05-28-16:06:45,6623,27,1590671233.22718
20,0.000327148,2020-05-28-16:06:45,6623,27,1590671233.22946
9,1.56156e-39,2020-05-28-16:06:45,6623,28,1590671234.2335
10,1.56228e-39,2020-05-28-16:06:45,6623,28,1590671234.24825
11,1.563e-39,2020-05-28-16:06:45,6623,28,1590671234.25067
12,1.56371e-39,2020-05-28-16:06:45,6623,28,1590671234.25309
13,-107500.0,2020-05-28-16:06:45,6623,28,1590671234.25562
14,-125.667,2020-05-28-16:06:45,6623,28,1590671234.25797
15,-110.427,2020-05-28-16:06:45,6623,28,1590671234.26032
16,-121.646,2020-05-28-16:06:45,6623,28,1590671234.26249
17,-0.000185547,2020-05-28-16:06:45,6623,28,1590671234.26549
18,-4.88281e-06,2020-05-28-16:06:45,6623,28,1590671234.26815
19,0.00034668,2020-05-28-16:06:45,6623,28,1590671234.27038
20,0.000175781,2020-05-28-16:06:45,6623,28,1590671234.27259
9,1.56156e-39,2020-05-28-16:06:45,6623,29,1590671235.277
10,1.56228e-39,2020-05-28-16:06:45,6623,29,1590671235.29268
11,1.563e-39,2020-05-28-16:06:45,6623,29,1590671235.29722
12,1.56371e-39,2020-05-28-16:06:45,6623,29,1590671235.30162
13,-107501.0,2020-05-28-16:06:45,6623,29,1590671235.30654
14,-125.664,2020-05-28-16:06:45,6623,29,1590671235.31115
15,-110.432,2020-05-28-16:06:45,6623,29,1590671235.31542
16,-121.64,2020-05-28-16:06:45,6623,29,1590671235.31949
17,-2.92969e-05,2020-05-28-16:06:45,6623,29,1590671235.32439
18,0.00015625,2020-05-28-16:06:45,6623,29,1590671235.32871
19,0.000283203,2020-05-28-16:06:45,6623,29,1590671235.33281
20,0.000180664,2020-05-28-16:06:45,6623,29,1590671235.33684
9,1.56156e-39,2020-05-28-16:06:45,6623,30,1590671236.34334
10,1.56228e-39,2020-05-28-16:06:45,6623,30,1590671236.35079
11,1.563e-39,2020-05-28-16:06:45,6623,30,1590671236.35541
12,1.56371e-39,2020-05-28-16:06:45,6623,30,1590671236.36001
13,-107501.0,2020-05-28-16:06:45,6623,30,1590671236.36498
14,-125.666,2020-05-28-16:06:45,6623,30,1590671236.36962
15,-110.421,2020-05-28-16:06:45,6623,30,1590671236.37404
16,-121.642,2020-05-28-16:06:45,6623,30,1590671236.37851
